-------------------------------------------------------------------------------
NVIDIA devices
-------------------------------------------------------------------------------
  GeForce GTS 260M, PCI_ID=0ca8, (HW Video Decode)
  GeForce GTS 250M, PCI_ID=0ca9, (HW Video Decode)
  GeForce GT 220, PCI_ID=0cac, (HW Video Decode)
  GeForce GT 335M, PCI_ID=0caf, (HW Video Decode)
  GeForce GTS 350M, PCI_ID=0cb0, (HW Video Decode)
  GeForce GTS 360M, PCI_ID=0cb1, (HW Video Decode)
  GeForce GT 440, PCI_ID=0dc0, (HW Video Decode)
  GeForce GTS 450, PCI_ID=0dc4, (HW Video Decode)
  GeForce GTS 450, PCI_ID=0dc5, (HW Video Decode)
  GeForce GTS 450, PCI_ID=0dc6, (HW Video Decode)
  GeForce GT 555M, PCI_ID=0dcd, (HW Video Decode)
  GeForce GT 555M, PCI_ID=0dce, (HW Video Decode)
  GeForce GTX 460M, PCI_ID=0dd1, (HW Video Decode)
  GeForce GT 445M, PCI_ID=0dd2, (HW Video Decode)
  GeForce GT 435M, PCI_ID=0dd3, (HW Video Decode)
  GeForce GT 550M, PCI_ID=0dd6, (HW Video Decode)
  GeForce GT 440, PCI_ID=0de0, (HW Video Decode)
  GeForce GT 430, PCI_ID=0de1, (HW Video Decode)
  GeForce GT 420, PCI_ID=0de2, (HW Video Decode)
  GeForce GT 635M, PCI_ID=0de3, (HW Video Decode)
  GeForce GT 520, PCI_ID=0de4, (HW Video Decode)
  GeForce GT 530, PCI_ID=0de5, (HW Video Decode)
  GeForce GT 610, PCI_ID=0de7, (HW Video Decode)
  GeForce GT 620M, PCI_ID=0de8, (HW Video Decode)
  GeForce GT 630M, PCI_ID=0de9, (HW Video Decode)
  GeForce 610M, PCI_ID=0dea, (HW Video Decode)
  GeForce GT 555M, PCI_ID=0deb, (HW Video Decode)
  GeForce GT 525M, PCI_ID=0dec, (HW Video Decode)
  GeForce GT 520M, PCI_ID=0ded, (HW Video Decode)
  GeForce GT 415M, PCI_ID=0dee, (HW Video Decode)
  GeForce GT 425M, PCI_ID=0df0, (HW Video Decode)
  GeForce GT 420M, PCI_ID=0df1, (HW Video Decode)
  GeForce GT 435M, PCI_ID=0df2, (HW Video Decode)
  GeForce GT 420M, PCI_ID=0df3, (HW Video Decode)
  GeForce GT 540M, PCI_ID=0df4, (HW Video Decode)
  GeForce GT 525M, PCI_ID=0df5, (HW Video Decode)
  GeForce GT 550M, PCI_ID=0df6, (HW Video Decode)
  GeForce GT 520M, PCI_ID=0df7, (HW Video Decode)
  GeForce GTX 460, PCI_ID=0e22, (HW Video Decode)
  GeForce GTX 460 SE, PCI_ID=0e23, (HW Video Decode)
  GeForce GTX 460, PCI_ID=0e24, (HW Video Decode)
  GeForce GTX 470M, PCI_ID=0e30, (HW Video Decode)
  GeForce GTX 485M, PCI_ID=0e31, (HW Video Decode)
  GeForce GT 630, PCI_ID=0f00, (HW Video Decode)
  GeForce GT 620, PCI_ID=0f01, (HW Video Decode)
  GeForce GT 730, PCI_ID=0f02, (HW Video Decode)
  GeForce GT 640, PCI_ID=0fc0, (HW Video Decode)
  GeForce GT 640, PCI_ID=0fc1, (HW Video Decode)
  GeForce GT 630, PCI_ID=0fc2, (HW Video Decode)
  GeForce GTX 650, PCI_ID=0fc6, (HW Video Decode)
  GeForce GT 740, PCI_ID=0fc8, (HW Video Decode)
  GeForce GT 755M, PCI_ID=0fcd, (HW Video Decode)
  GeForce GT 640M LE, PCI_ID=0fce, (HW Video Decode)
  GeForce GT 650M, PCI_ID=0fd1, (HW Video Decode)
  GeForce GT 640M, PCI_ID=0fd2, (HW Video Decode)
  GeForce GT 640M LE, PCI_ID=0fd3, (HW Video Decode)
  GeForce GTX 660M, PCI_ID=0fd4, (HW Video Decode)
  GeForce GT 650M, PCI_ID=0fd5, (HW Video Decode)
  GeForce GT 640M, PCI_ID=0fd8, (HW Video Decode)
  GeForce GT 645M, PCI_ID=0fd9, (HW Video Decode)
  GeForce GT 740M, PCI_ID=0fdf, (HW Video Decode)
  GeForce GTX 660M, PCI_ID=0fe0, (HW Video Decode)
  GeForce GT 730M, PCI_ID=0fe1, (HW Video Decode)
  GeForce GT 745M, PCI_ID=0fe2, (HW Video Decode)
  GeForce GT 745M, PCI_ID=0fe3, (HW Video Decode)
  GeForce GT 750M, PCI_ID=0fe4, (HW Video Decode)
  GeForce GT 750M, PCI_ID=0fe9, (HW Video Decode)
  GeForce GT 755M, PCI_ID=0fea, (HW Video Decode)
  GeForce 710A, PCI_ID=0fec, (HW Video Decode)
  GeForce GTX TITAN Z, PCI_ID=1001, (HW Video Decode)
  GeForce GTX 780, PCI_ID=1004, (HW Video Decode)
  GeForce GTX TITAN, PCI_ID=1005, (HW Video Decode)
  GeForce GTX 780, PCI_ID=1007, (HW Video Decode)
  GeForce GTX 780 Ti, PCI_ID=1008, (HW Video Decode)
  GeForce GTX 780 Ti, PCI_ID=100a, (HW Video Decode)
  GeForce GTX TITAN Black, PCI_ID=100c, (HW Video Decode)
  GeForce GT 520, PCI_ID=1040, (HW Video Decode)
  GeForce 510, PCI_ID=1042, (HW Video Decode)
  GeForce 605, PCI_ID=1048, (HW Video Decode)
  GeForce GT 620, PCI_ID=1049, (HW Video Decode)
  GeForce GT 610, PCI_ID=104a, (HW Video Decode)
  GeForce GT 625 (OEM), PCI_ID=104b, (HW Video Decode)
  GeForce GT 705, PCI_ID=104c, (HW Video Decode)
  GeForce GT 520M, PCI_ID=1050, (HW Video Decode)
  GeForce GT 520MX, PCI_ID=1051, (HW Video Decode)
  GeForce GT 520M, PCI_ID=1052, (HW Video Decode)
  GeForce 410M, PCI_ID=1054, (HW Video Decode)
  GeForce 410M, PCI_ID=1055, (HW Video Decode)
  GeForce 610M, PCI_ID=1058, (HW Video Decode)
  GeForce 610M, PCI_ID=1059, (HW Video Decode)
  GeForce 610M, PCI_ID=105a, (HW Video Decode)
  GeForce 705M, PCI_ID=105b, (HW Video Decode)
  GeForce GTX 580, PCI_ID=1080, (HW Video Decode)
  GeForce GTX 570, PCI_ID=1081, (HW Video Decode)
  GeForce GTX 560 Ti, PCI_ID=1082, (HW Video Decode)
  GeForce GTX 560, PCI_ID=1084, (HW Video Decode)
  GeForce GTX 570, PCI_ID=1086, (HW Video Decode)
  GeForce GTX 560 Ti, PCI_ID=1087, (HW Video Decode)
  GeForce GTX 590, PCI_ID=1088, (HW Video Decode)
  GeForce GTX 580, PCI_ID=1089, (HW Video Decode)
  GeForce GTX 580, PCI_ID=108b, (HW Video Decode)
  GeForce 9300 GS, PCI_ID=10c0, (HW Video Decode)
  GeForce 8400GS, PCI_ID=10c3, (HW Video Decode)
  GeForce 405, PCI_ID=10c5, (HW Video Decode)
  GeForce 820M, PCI_ID=1140, (HW Video Decode)
  GeForce GTX 680, PCI_ID=1180, (HW Video Decode)
  GeForce GTX 660 Ti, PCI_ID=1183, (HW Video Decode)
  GeForce GTX 770, PCI_ID=1184, (HW Video Decode)
