-------------------------------------------------------------------------------
NVIDIA devices
-------------------------------------------------------------------------------
  VERDE (VERDE_6828), PCI_ID=6828, (HW Video Decode)
  VERDE (VERDE_6829), PCI_ID=6829, (HW Video Decode)
  VERDE (VERDE_682A), PCI_ID=682a, (HW Video Decode)
  VERDE (VERDE_682B), PCI_ID=682b, (HW Video Decode)
  VERDE (VERDE_682C), PCI_ID=682c, (HW Video Decode)
  VERDE (VERDE_682D), PCI_ID=682d, (HW Video Decode)
  VERDE (VERDE_682F), PCI_ID=682f, (HW Video Decode)
  VERDE (VERDE_6830), PCI_ID=6830, (HW Video Decode)
  VERDE (VERDE_6831), PCI_ID=6831, (HW Video Decode)
  VERDE (VERDE_6835), PCI_ID=6835, (HW Video Decode)
  VERDE (VERDE_6837), PCI_ID=6837, (HW Video Decode)
  VERDE (VERDE_6838), PCI_ID=6838, (HW Video Decode)
  VERDE (VERDE_6839), PCI_ID=6839, (HW Video Decode)
  VERDE (VERDE_683B), PCI_ID=683b, (HW Video Decode)
  VERDE (VERDE_683D), PCI_ID=683d, (HW Video Decode)
  VERDE (VERDE_683F), PCI_ID=683f, (HW Video Decode)
  OLAND (OLAND_6600), PCI_ID=6600, (HW Video Decode)
  OLAND (OLAND_6601), PCI_ID=6601, (HW Video Decode)
  OLAND (OLAND_6602), PCI_ID=6602, (HW Video Decode)
  OLAND (OLAND_6603), PCI_ID=6603, (HW Video Decode)
  OLAND (OLAND_6604), PCI_ID=6604, (HW Video Decode)
  OLAND (OLAND_6605), PCI_ID=6605, (HW Video Decode)
  OLAND (OLAND_6606), PCI_ID=6606, (HW Video Decode)
  OLAND (OLAND_6607), PCI_ID=6607, (HW Video Decode)
  OLAND (OLAND_6608), PCI_ID=6608, (HW Video Decode)
  OLAND (OLAND_6610), PCI_ID=6610, (HW Video Decode)
  OLAND (OLAND_6611), PCI_ID=6611, (HW Video Decode)
  OLAND (OLAND_6613), PCI_ID=6613, (HW Video Decode)
  OLAND (OLAND_6617), PCI_ID=6617, (HW Video Decode)
  OLAND (OLAND_6620), PCI_ID=6620, (HW Video Decode)
  OLAND (OLAND_6621), PCI_ID=6621, (HW Video Decode)
  OLAND (OLAND_6623), PCI_ID=6623, (HW Video Decode)
  OLAND (OLAND_6631), PCI_ID=6631, (HW Video Decode)
  HAINAN (HAINAN_6660), PCI_ID=6660, (HW Video Decode)
  HAINAN (HAINAN_6663), PCI_ID=6663, (HW Video Decode)
  HAINAN (HAINAN_6664), PCI_ID=6664, (HW Video Decode)
  HAINAN (HAINAN_6665), PCI_ID=6665, (HW Video Decode)
  HAINAN (HAINAN_6667), PCI_ID=6667, (HW Video Decode)
  HAINAN (HAINAN_666F), PCI_ID=666f, (HW Video Decode)
  BONAIRE (BONAIRE_6640), PCI_ID=6640, (HW Video Decode)
  BONAIRE (BONAIRE_6641), PCI_ID=6641, (HW Video Decode)
  BONAIRE (BONAIRE_6646), PCI_ID=6646, (HW Video Decode)
  BONAIRE (BONAIRE_6647), PCI_ID=6647, (HW Video Decode)
  BONAIRE (BONAIRE_6649), PCI_ID=6649, (HW Video Decode)
  BONAIRE (BONAIRE_6650), PCI_ID=6650, (HW Video Decode)
  BONAIRE (BONAIRE_6651), PCI_ID=6651, (HW Video Decode)
  BONAIRE (BONAIRE_6658), PCI_ID=6658, (HW Video Decode)
  BONAIRE (BONAIRE_665C), PCI_ID=665c, (HW Video Decode)
  BONAIRE (BONAIRE_665D), PCI_ID=665d, (HW Video Decode)
  BONAIRE (BONAIRE_665F), PCI_ID=665f, (HW Video Decode)
  KABINI (KABINI_9830), PCI_ID=9830, (HW Video Decode)
  KABINI (KABINI_9831), PCI_ID=9831, (HW Video Decode)
  KABINI (KABINI_9832), PCI_ID=9832, (HW Video Decode)
  KABINI (KABINI_9833), PCI_ID=9833, (HW Video Decode)
  KABINI (KABINI_9834), PCI_ID=9834, (HW Video Decode)
  KABINI (KABINI_9835), PCI_ID=9835, (HW Video Decode)
  KABINI (KABINI_9836), PCI_ID=9836, (HW Video Decode)
  KABINI (KABINI_9837), PCI_ID=9837, (HW Video Decode)
  KABINI (KABINI_9838), PCI_ID=9838, (HW Video Decode)
  KABINI (KABINI_9839), PCI_ID=9839, (HW Video Decode)
  KABINI (KABINI_983A), PCI_ID=983a, (HW Video Decode)
  KABINI (KABINI_983B), PCI_ID=983b, (HW Video Decode)
  KABINI (KABINI_983C), PCI_ID=983c, (HW Video Decode)
  KABINI (KABINI_983D), PCI_ID=983d, (HW Video Decode)
  KABINI (KABINI_983E), PCI_ID=983e, (HW Video Decode)
  KABINI (KABINI_983F), PCI_ID=983f, (HW Video Decode)
  MULLINS (MULLINS_9850), PCI_ID=9850, (HW Video Decode)
  MULLINS (MULLINS_9851), PCI_ID=9851, (HW Video Decode)
  MULLINS (MULLINS_9852), PCI_ID=9852, (HW Video Decode)
  MULLINS (MULLINS_9853), PCI_ID=9853, (HW Video Decode)
  MULLINS (MULLINS_9854), PCI_ID=9854, (HW Video Decode)
  MULLINS (MULLINS_9855), PCI_ID=9855, (HW Video Decode)
  MULLINS (MULLINS_9856), PCI_ID=9856, (HW Video Decode)
  MULLINS (MULLINS_9857), PCI_ID=9857, (HW Video Decode)
  MULLINS (MULLINS_9858), PCI_ID=9858, (HW Video Decode)
  MULLINS (MULLINS_9859), PCI_ID=9859, (HW Video Decode)
  MULLINS (MULLINS_985A), PCI_ID=985a, (HW Video Decode)
  MULLINS (MULLINS_985B), PCI_ID=985b, (HW Video Decode)
  MULLINS (MULLINS_985C), PCI_ID=985c, (HW Video Decode)
  MULLINS (MULLINS_985D), PCI_ID=985d, (HW Video Decode)
  MULLINS (MULLINS_985E), PCI_ID=985e, (HW Video Decode)
  MULLINS (MULLINS_985F), PCI_ID=985f, (HW Video Decode)
  KAVERI (KAVERI_1304), PCI_ID=1304, (HW Video Decode)
  KAVERI (KAVERI_1305), PCI_ID=1305, (HW Video Decode)
  KAVERI (KAVERI_1306), PCI_ID=1306, (HW Video Decode)
  KAVERI (KAVERI_1307), PCI_ID=1307, (HW Video Decode)
  KAVERI (KAVERI_1309), PCI_ID=1309, (HW Video Decode)
  KAVERI (KAVERI_130A), PCI_ID=130a, (HW Video Decode)
  KAVERI (KAVERI_130B), PCI_ID=130b, (HW Video Decode)
  KAVERI (KAVERI_130C), PCI_ID=130c, (HW Video Decode)
  KAVERI (KAVERI_130D), PCI_ID=130d, (HW Video Decode)
  KAVERI (KAVERI_130E), PCI_ID=130e, (HW Video Decode)
  KAVERI (KAVERI_130F), PCI_ID=130f, (HW Video Decode)
  KAVERI (KAVERI_1310), PCI_ID=1310, (HW Video Decode)
  KAVERI (KAVERI_1311), PCI_ID=1311, (HW Video Decode)
  KAVERI (KAVERI_1312), PCI_ID=1312, (HW Video Decode)
  KAVERI (KAVERI_1313), PCI_ID=1313, (HW Video Decode)
  KAVERI (KAVERI_1315), PCI_ID=1315, (HW Video Decode)
  KAVERI (KAVERI_1316), PCI_ID=1316, (HW Video Decode)
  KAVERI (KAVERI_1317), PCI_ID=1317, (HW Video Decode)
  KAVERI (KAVERI_1318), PCI_ID=1318, (HW Video Decode)
  KAVERI (KAVERI_131B), PCI_ID=131b, (HW Video Decode)
  KAVERI (KAVERI_131C), PCI_ID=131c, (HW Video Decode)
  KAVERI (KAVERI_131D), PCI_ID=131d, (HW Video Decode)
  HAWAII (HAWAII_67A0), PCI_ID=67a0, (HW Video Decode)
  HAWAII (HAWAII_67A1), PCI_ID=67a1, (HW Video Decode)
  HAWAII (HAWAII_67A2), PCI_ID=67a2, (HW Video Decode)
  HAWAII (HAWAII_67A8), PCI_ID=67a8, (HW Video Decode)
  HAWAII (HAWAII_67A9), PCI_ID=67a9, (HW Video Decode)
  HAWAII (HAWAII_67AA), PCI_ID=67aa, (HW Video Decode)
  HAWAII (HAWAII_67B0), PCI_ID=67b0, (HW Video Decode)
  HAWAII (HAWAII_67B1), PCI_ID=67b1, (HW Video Decode)
  HAWAII (HAWAII_67B8), PCI_ID=67b8, (HW Video Decode)
  HAWAII (HAWAII_67B9), PCI_ID=67b9, (HW Video Decode)
  HAWAII (HAWAII_67BA), PCI_ID=67ba, (HW Video Decode)
  HAWAII (HAWAII_67BE), PCI_ID=67be, (HW Video Decode)
  ICELAND (ICELAND_), PCI_ID=6900, (HW Video Decode)
  ICELAND (ICELAND_), PCI_ID=6901, (HW Video Decode)
  ICELAND (ICELAND_), PCI_ID=6902, (HW Video Decode)
  ICELAND (ICELAND_), PCI_ID=6903, (HW Video Decode)
  ICELAND (ICELAND_), PCI_ID=6907, (HW Video Decode)
  TONGA (TONGA_), PCI_ID=6920, (HW Video Decode)
  TONGA (TONGA_), PCI_ID=6921, (HW Video Decode)
  TONGA (TONGA_), PCI_ID=6928, (HW Video Decode)
  TONGA (TONGA_), PCI_ID=6929, (HW Video Decode)
  TONGA (TONGA_), PCI_ID=692b, (HW Video Decode)
  TONGA (TONGA_), PCI_ID=692f, (HW Video Decode)
  TONGA (TONGA_), PCI_ID=6930, (HW Video Decode)
  TONGA (TONGA_), PCI_ID=6938, (HW Video Decode)
  TONGA (TONGA_), PCI_ID=6939, (HW Video Decode)
  CARRIZO (CARRIZO_), PCI_ID=9870, (HW Video Decode)
  CARRIZO (CARRIZO_), PCI_ID=9874, (HW Video Decode)
  CARRIZO (CARRIZO_), PCI_ID=9875, (HW Video Decode)
  CARRIZO (CARRIZO_), PCI_ID=9876, (HW Video Decode)
  CARRIZO (CARRIZO_), PCI_ID=9877, (HW Video Decode)
  FIJI (FIJI_), PCI_ID=7300, (HW Video Decode)
  STONEY (STONEY_), PCI_ID=98e4, (HW Video Decode)
-------------------------------------------------------------------------------

-------------------------------------------------------------------------------
Intel devices
-------------------------------------------------------------------------------
  "830M", PCI_ID=3577
  "845G", PCI_ID=2562
  "852GM/855GM", PCI_ID=3582
  "865G", PCI_ID=2572
  "915G", PCI_ID=2582
  "E7221G i915", PCI_ID=258a
  "915GM", PCI_ID=2592
  "945G", PCI_ID=2772
  "945GM", PCI_ID=27a2
  "945GME", PCI_ID=27ae
  "Q35", PCI_ID=29b2
  "G33", PCI_ID=29c2
  "Q33", PCI_ID=29d2
  "IGD", PCI_ID=a011
  "IGD", PCI_ID=a001
  "965G", PCI_ID=29a2
  "965Q", PCI_ID=2992
  "965G", PCI_ID=2982
  "946GZ", PCI_ID=2972
  "965GM", PCI_ID=2a02
  "965GME/GLE", PCI_ID=2a12
  "Mobile Intel® GM45 Express Chipset", PCI_ID=2a42
  "Integrated Graphics Device", PCI_ID=2e02
  "Q45/Q43", PCI_ID=2e12
  "G45/G43", PCI_ID=2e22
  "G41", PCI_ID=2e32
  "B43", PCI_ID=2e42
  "B43", PCI_ID=2e92
  "Ironlake Desktop", PCI_ID=0042
  "Ironlake Mobile", PCI_ID=0046
  "Sandybridge Desktop", PCI_ID=0102, (HW Video Decode)
  "Sandybridge Desktop", PCI_ID=0112, (HW Video Decode)
  "Sandybridge Desktop", PCI_ID=0122, (HW Video Decode)
  "Sandybridge Mobile", PCI_ID=0106, (HW Video Decode)
  "Sandybridge Mobile", PCI_ID=0116, (HW Video Decode)
  "Sandybridge Mobile", PCI_ID=0126, (HW Video Decode)
  "Sandybridge Server", PCI_ID=010a, (HW Video Decode)
  "Ivybridge Desktop", PCI_ID=0152, (HW Video Decode)
  "Ivybridge Desktop", PCI_ID=0162, (HW Video Decode)
  "Ivybridge Mobile", PCI_ID=0156, (HW Video Decode)
  "Ivybridge Mobile", PCI_ID=0166, (HW Video Decode)
  "Ivybridge Server", PCI_ID=015a, (HW Video Decode)
  "Ivybridge Server", PCI_ID=016a, (HW Video Decode)
  "Haswell Desktop", PCI_ID=0402, (HW Video Decode)
  "Haswell Desktop", PCI_ID=0412, (HW Video Decode)
  "Haswell Desktop", PCI_ID=0422, (HW Video Decode)
  "Haswell Mobile", PCI_ID=0406, (HW Video Decode)
  "Haswell Mobile", PCI_ID=0416, (HW Video Decode)
  "Haswell Mobile", PCI_ID=0426, (HW Video Decode)
  "Haswell Server", PCI_ID=040a, (HW Video Decode)
  "Haswell Server", PCI_ID=041a, (HW Video Decode)
  "Haswell Server", PCI_ID=042a, (HW Video Decode)
  "Haswell", PCI_ID=040b, (HW Video Decode)
  "Haswell", PCI_ID=041b, (HW Video Decode)
  "Haswell", PCI_ID=042b, (HW Video Decode)
  "Haswell", PCI_ID=040e, (HW Video Decode)
  "Haswell", PCI_ID=041e, (HW Video Decode)
  "Haswell", PCI_ID=042e, (HW Video Decode)
  "Haswell Desktop", PCI_ID=0c02, (HW Video Decode)
  "Haswell Desktop", PCI_ID=0c12, (HW Video Decode)
  "Haswell Desktop", PCI_ID=0c22, (HW Video Decode)
  "Haswell Mobile", PCI_ID=0c06, (HW Video Decode)
  "Haswell Mobile", PCI_ID=0c16, (HW Video Decode)
  "Haswell Mobile", PCI_ID=0c26, (HW Video Decode)
  "Haswell Server", PCI_ID=0c0a, (HW Video Decode)
  "Haswell Server", PCI_ID=0c1a, (HW Video Decode)
  "Haswell Server", PCI_ID=0c2a, (HW Video Decode)
  "Haswell", PCI_ID=0c0b, (HW Video Decode)
  "Haswell", PCI_ID=0c1b, (HW Video Decode)
  "Haswell", PCI_ID=0c2b, (HW Video Decode)
  "Haswell", PCI_ID=0c0e, (HW Video Decode)
  "Haswell", PCI_ID=0c1e, (HW Video Decode)
  "Haswell", PCI_ID=0c2e, (HW Video Decode)
  "Haswell Desktop", PCI_ID=0a02, (HW Video Decode)
  "Haswell Desktop", PCI_ID=0a12, (HW Video Decode)
  "Haswell Desktop", PCI_ID=0a22, (HW Video Decode)
  "Haswell Mobile", PCI_ID=0a06, (HW Video Decode)
  "Haswell Mobile", PCI_ID=0a16, (HW Video Decode)
  "Haswell Mobile", PCI_ID=0a26, (HW Video Decode)
  "Haswell Server", PCI_ID=0a0a, (HW Video Decode)
  "Haswell Server", PCI_ID=0a1a, (HW Video Decode)
  "Haswell Server", PCI_ID=0a2a, (HW Video Decode)
  "Haswell", PCI_ID=0a0b, (HW Video Decode)
  "Haswell", PCI_ID=0a1b, (HW Video Decode)
  "Haswell", PCI_ID=0a2b, (HW Video Decode)
  "Haswell", PCI_ID=0a0e, (HW Video Decode)
  "Haswell", PCI_ID=0a1e, (HW Video Decode)
  "Haswell", PCI_ID=0a2e, (HW Video Decode)
  "Haswell Desktop", PCI_ID=0d02, (HW Video Decode)
  "Haswell Desktop", PCI_ID=0d12, (HW Video Decode)
  "Haswell Desktop", PCI_ID=0d22, (HW Video Decode)
  "Haswell Mobile", PCI_ID=0d06, (HW Video Decode)
  "Haswell Mobile", PCI_ID=0d16, (HW Video Decode)
  "Haswell Mobile", PCI_ID=0d26, (HW Video Decode)
  "Haswell Server", PCI_ID=0d0a, (HW Video Decode)
  "Haswell Server", PCI_ID=0d1a, (HW Video Decode)
  "Haswell", PCI_ID=0d2a, (HW Video Decode)
  "Haswell", PCI_ID=0d0b, (HW Video Decode)
  "Haswell", PCI_ID=0d1b, (HW Video Decode)
  "Haswell", PCI_ID=0d2b, (HW Video Decode)
  "Haswell", PCI_ID=0d0e, (HW Video Decode)
  "Haswell", PCI_ID=0d1e, (HW Video Decode)
  "Haswell", PCI_ID=0d2e, (HW Video Decode)
  "Bay Trail", PCI_ID=0f31, (HW Video Decode)
  "Bay Trail", PCI_ID=0f32, (HW Video Decode)
  "Bay Trail", PCI_ID=0f33, (HW Video Decode)
  "Bay Trail", PCI_ID=0157, (HW Video Decode)
  "Bay Trail", PCI_ID=0155, (HW Video Decode)
  "Broadwell GT1", PCI_ID=1602, (HW Video Decode)
  "Broadwell GT1", PCI_ID=1606, (HW Video Decode)
  "Broadwell GT1", PCI_ID=160a, (HW Video Decode)
  "Broadwell GT1", PCI_ID=160b, (HW Video Decode)
  "Broadwell GT1", PCI_ID=160d, (HW Video Decode)
  "Broadwell GT1", PCI_ID=160e, (HW Video Decode)
  "HD Graphics 5600 Broadwell GT2", PCI_ID=1612, (HW Video Decode)
  "HD Graphics 5500 Broadwell GT2", PCI_ID=1616, (HW Video Decode)
  "Broadwell GT2", PCI_ID=161a, (HW Video Decode)
  "Broadwell GT2", PCI_ID=161b, (HW Video Decode)
  "Broadwell GT2", PCI_ID=161d, (HW Video Decode)
  "HD Graphics 5300 Broadwell GT2", PCI_ID=161e, (HW Video Decode)
  "Iris Pro 6200 Broadwell GT3e", PCI_ID=1622, (HW Video Decode)
  "HD Graphics 6000 Broadwell GT3", PCI_ID=1626, (HW Video Decode)
  "Iris Pro P6300 Broadwell GT3e", PCI_ID=162a, (HW Video Decode)
  "Iris 6100 Broadwell GT3", PCI_ID=162b, (HW Video Decode)
  "Broadwell GT3", PCI_ID=162d, (HW Video Decode)
  "Broadwell GT3", PCI_ID=162e, (HW Video Decode)
  "Cherryview", PCI_ID=22b0, (HW Video Decode)
  "Cherryview", PCI_ID=22b1, (HW Video Decode)
  "Cherryview", PCI_ID=22b2, (HW Video Decode)
  "Cherryview", PCI_ID=22b3, (HW Video Decode)
-------------------------------------------------------------------------------

